Citi_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Baykit,RU,61.67,96.37,-16.29,98,97,2.77,overcast clouds
169,Kavali,IN,14.9167,79.9833,72.32,73,99,7.74,overcast clouds
170,Andenes,NO,69.3143,16.1194,33.78,75,93,13.8,overcast clouds
171,Kamina,CD,-8.7386,24.9906,60.42,94,51,3.49,broken clouds
172,Sabha,LY,27.0377,14.4283,61.25,27,2,10.29,clear sky
173,Saskylakh,RU,71.9167,114.0833,-36.94,100,24,4.09,few clouds
174,Faanui,PF,-16.4833,-151.75,78.93,78,16,6.58,moderate rain
175,Khatanga,RU,71.9667,102.5,-21.73,89,99,9.06,overcast clouds
176,Meulaboh,ID,4.1363,96.1285,79.05,80,98,2.86,overcast clouds
177,Melo,UY,-32.3667,-54.1833,63.7,63,4,5.28,clear sky
178,Airai,TL,-8.9266,125.4092,78.24,47,23,1.52,few clouds
179,Naze,JP,28.3667,129.4833,68.92,82,54,2.48,broken clouds
180,Kenora,CA,49.8167,-94.4337,16.77,79,100,10.36,overcast clouds
181,Port Lincoln,AU,-34.7333,135.8667,68.68,53,100,21.63,overcast clouds
182,Anderson,US,34.5334,-82.6499,40.08,79,0,0.0,clear sky
183,Bethel,US,41.3712,-73.414,37.76,61,0,6.91,clear sky
184,Hirado,JP,33.3597,129.5531,67.39,57,6,14.74,clear sky
185,Salinopolis,BR,-0.6136,-47.3561,78.89,81,84,9.46,broken clouds
186,Itoman,JP,26.1247,127.6694,80.98,86,20,5.75,few clouds
187,Emba,KZ,48.8264,58.1442,27.46,72,100,16.08,overcast clouds
188,Sola,VU,-13.8833,167.55,82.65,70,5,11.86,clear sky
189,Deputatskiy,RU,69.3,139.9,-26.41,98,19,2.3,few clouds
190,Ilhabela,BR,-23.7781,-45.3581,69.42,76,30,3.51,scattered clouds
191,Stepnogorsk,KZ,52.3544,71.8869,7.63,89,10,1.9,clear sky
192,Laguna,US,38.421,-121.4238,55.78,68,0,0.0,clear sky
193,Yanam,IN,16.7333,82.2167,78.89,55,90,6.17,overcast clouds
194,Thompson,CA,55.7435,-97.8558,5.16,78,100,14.97,overcast clouds
195,Paamiut,GL,61.994,-49.6678,18.81,61,100,2.51,overcast clouds
196,Plato,CO,9.7903,-74.7824,74.97,96,100,2.68,light rain
197,Norman Wells,CA,65.282,-126.8329,-7.56,77,20,0.0,few clouds
198,Koundara,GN,12.4833,-13.3,73.65,29,90,2.77,overcast clouds
199,Coahuayana,MX,18.7333,-103.6833,75.04,93,1,2.55,clear sky
200,Bayir,TR,37.2687,28.2167,57.72,94,98,7.92,overcast clouds
201,Diego De Almagro,CL,-26.3667,-70.05,64.35,63,8,0.72,clear sky
202,College,US,64.8569,-147.8028,15.58,85,20,3.44,few clouds
203,Starotimoshkino,RU,53.7191,47.5312,30.49,97,100,11.45,light snow
204,Shelburne,CA,44.0787,-80.2041,27.75,92,100,14.38,overcast clouds
205,Banyo,CM,6.75,11.8167,64.74,57,52,3.4,broken clouds
206,Areka,ET,7.0667,37.7,56.17,64,8,5.41,clear sky
207,Halifax,CA,44.6453,-63.5724,35.6,72,27,15.01,scattered clouds
208,Cidreira,BR,-30.1811,-50.2056,66.72,83,32,9.35,scattered clouds
209,Saint-Augustin,CA,51.226,-58.6502,28.09,95,100,19.04,snow
210,Kargalinskaya,RU,43.7417,46.4792,46.81,92,14,10.27,few clouds
211,Torbay,CA,47.6666,-52.7314,44.76,83,100,25.32,overcast clouds
212,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.68,84,82,1.32,broken clouds
213,Sipe Sipe,BO,-17.45,-66.3833,68.49,56,32,1.81,scattered clouds
214,Huntsville,US,34.7304,-86.5861,33.82,69,0,1.01,clear sky
215,Geraldton,AU,-28.7667,114.6,64.81,52,75,23.02,broken clouds
216,Guerrero Negro,MX,27.9769,-114.0611,63.36,63,5,6.13,clear sky
217,Provideniya,RU,64.3833,-173.3,32.36,93,100,15.99,fog
218,Marapanim,BR,-0.7175,-47.6997,75.42,88,91,3.53,overcast clouds
219,Batie,BF,9.8833,-2.9167,69.4,30,3,1.25,clear sky
220,Qaanaaq,GL,77.484,-69.3632,-15.81,70,4,7.58,clear sky
221,Moussoro,TD,13.6408,16.4901,71.62,21,2,10.33,clear sky
222,Mount Isa,AU,-20.7333,139.5,92.97,16,1,9.22,clear sky
223,Abu Dhabi,AE,24.4667,54.3667,73.96,86,50,1.14,scattered clouds
224,Garowe,SO,8.4054,48.4845,67.98,76,0,7.34,clear sky
225,East London,ZA,-33.0153,27.9116,64.69,90,100,1.54,overcast clouds
226,El Alto,PE,-4.2714,-81.2147,63.27,86,81,14.72,broken clouds
227,Puerto Escondido,MX,15.85,-97.0667,79.63,65,0,2.3,clear sky
228,Olafsvik,IS,64.8945,-23.7142,44.15,87,97,13.18,overcast clouds
229,Amahai,ID,-3.3333,128.9167,87.03,63,87,4.7,overcast clouds
230,Juneau,US,58.3019,-134.4197,34.21,93,40,0.0,fog
231,Astoria,US,46.1879,-123.8313,45.86,54,0,8.05,clear sky
232,Novaya Ladoga,RU,60.1025,32.3019,24.33,82,17,10.67,few clouds
233,Wajima,JP,37.4,136.9,61.48,67,20,8.05,few clouds
234,Hamilton,US,39.1834,-84.5333,30.97,74,100,6.91,haze
235,Avera,US,33.194,-82.5271,37.54,50,6,6.69,clear sky
236,Dikson,RU,73.5069,80.5464,-0.81,94,100,24.79,light snow
237,Shwebo,MM,22.5667,95.7,75.27,54,36,9.35,scattered clouds
238,Lavrentiya,RU,65.5833,-171.0,33.76,89,100,20.13,overcast clouds
239,Atikokan,CA,48.7555,-91.6216,19.65,91,100,9.26,overcast clouds
240,Beloha,MG,-25.1667,45.05,69.04,86,0,3.0,clear sky
241,Pinheiro Machado,BR,-31.5783,-53.3811,64.06,58,2,4.63,clear sky
242,Marystown,CA,47.1666,-55.1483,41.61,71,96,24.58,overcast clouds
243,Kodinsk,RU,58.6881,99.1844,-1.35,87,6,3.24,clear sky
